Date,Open,High,Low,Close,Adj Close,Volume
2019-10-03,43.480000,44.560001,42.950001,44.330002,43.711945,37300
2019-10-04,44.820000,44.860001,44.240002,44.730000,44.106361,36000
2019-10-07,44.980000,45.560001,44.779999,44.799999,44.175388,86400
2019-10-08,43.639999,44.380001,43.430000,43.810001,43.199192,41300
2019-10-09,44.930000,45.070000,44.240002,44.240002,43.623199,29200
2019-10-10,45.000000,46.410000,45.000000,46.200001,45.555870,86300
2019-10-11,46.889999,47.419998,46.169998,46.830002,46.177090,75200
2019-10-14,45.599998,45.639999,44.810001,44.900002,44.273994,28800
2019-10-15,44.730000,46.000000,44.580002,45.720001,45.082561,21800
2019-10-16,46.919998,47.919998,46.919998,47.639999,46.975792,57000
2019-10-17,47.730000,48.139999,47.480000,47.939999,47.271610,19300
2019-10-18,48.110001,48.310001,47.110001,47.439999,46.778580,32600
2019-10-21,48.610001,48.849998,48.099998,48.720001,48.040737,12900
2019-10-22,49.320000,50.410000,49.320000,49.919998,49.224003,52700
2019-10-23,49.919998,51.150002,49.919998,50.869999,50.160759,46500
2019-10-24,52.400002,52.849998,52.009998,52.720001,51.984970,67500
2019-10-25,53.000000,54.380001,52.930000,54.279999,53.523216,64700
2019-10-28,54.560001,54.980000,53.369999,53.750000,53.000607,48300
2019-10-29,54.169998,54.669998,53.889999,54.220001,53.464054,26500
2019-10-30,55.020000,56.270000,54.630001,56.270000,55.485470,59800
2019-10-31,55.540001,55.759998,53.360001,54.090000,53.335869,36300
2019-11-01,56.590000,58.880001,56.470001,58.639999,57.822430,103700
2019-11-04,59.779999,60.560001,59.779999,60.020000,59.183189,81800
2019-11-05,59.250000,60.139999,58.720001,60.070000,59.232491,22400
2019-11-06,59.840000,60.619999,59.099998,60.070000,59.232491,26700
2019-11-07,61.980000,62.730000,61.490002,61.520000,60.662277,54600
2019-11-08,59.320000,60.099998,58.759998,60.049999,59.212769,21300
2019-11-11,58.299999,59.200001,58.270000,58.919998,58.098522,31500
2019-11-12,58.119999,58.119999,56.790001,56.790001,55.998222,32900
2019-11-13,56.250000,57.090000,56.250000,56.970001,56.175716,15500
2019-11-14,55.580002,56.860001,55.230000,56.560001,55.771431,27600
2019-11-15,57.099998,58.529999,57.060001,58.099998,57.289955,21800
2019-11-18,56.389999,57.360001,55.959999,57.360001,56.560276,21600
2019-11-19,57.709999,58.029999,57.049999,57.259998,56.461666,15000
2019-11-20,56.549999,57.549999,56.400002,56.820000,56.027805,23200
2019-11-21,57.189999,57.830002,57.020000,57.560001,56.757488,13600
2019-11-22,57.900002,58.130001,56.860001,57.450001,56.649021,10100
2019-11-25,57.299999,58.459999,57.299999,58.349998,57.536472,13300
2019-11-26,55.910000,56.200001,55.290001,56.110001,55.327705,31700
2019-11-27,55.779999,56.400002,55.459999,56.290001,55.505192,15600
2019-11-29,55.049999,55.549999,54.560001,54.720001,53.957081,16300
2019-12-02,55.369999,55.369999,54.110001,54.320000,53.562660,24300
2019-12-03,53.049999,53.080002,51.849998,52.430000,51.699009,36000
2019-12-04,54.099998,54.549999,53.869999,54.290001,53.533077,28500
2019-12-05,54.090000,54.410000,53.500000,53.830002,53.079494,16400
2019-12-06,54.740002,56.110001,54.740002,55.860001,55.081188,31000
2019-12-09,56.740002,56.970001,56.049999,56.080002,55.298122,36800
2019-12-10,56.599998,56.820000,55.869999,56.520000,55.731987,18200
2019-12-11,57.900002,59.930000,57.900002,59.660000,58.828209,45200
2019-12-12,61.500000,63.169998,61.450001,62.230000,61.362377,91500
2019-12-13,62.860001,64.379997,62.740002,63.580002,62.693554,60700
2019-12-16,64.550003,65.510002,64.550003,64.629997,63.728912,34700
2019-12-17,64.739998,65.690002,64.739998,65.550003,64.636093,36200
2019-12-18,65.620003,65.989998,65.099998,65.470001,64.557205,50500
2019-12-19,65.330002,66.440002,65.330002,66.309998,65.385490,136200
2019-12-20,66.660004,67.080002,66.360001,66.669998,65.740471,70600
2019-12-23,66.989998,68.050003,66.989998,67.669998,66.738541,182000
2019-12-24,68.570000,68.599998,68.129997,68.589996,67.645874,19000
2019-12-26,68.410004,69.410004,68.330002,69.050003,68.099548,34300
2019-12-27,70.459999,71.260002,70.199997,70.559998,69.588760,57700
2019-12-30,70.980003,71.040001,68.779999,68.849998,67.902298,34000
2019-12-31,68.839996,70.000000,68.820000,69.680000,68.720879,17300
2020-01-02,71.739998,75.379997,71.360001,75.080002,74.046547,83200
2020-01-03,71.160004,72.059998,70.410004,70.720001,69.746567,59300
2020-01-06,70.610001,73.089996,70.610001,73.029999,72.024765,38700
2020-01-07,72.769997,73.330002,72.080002,72.110001,71.117432,23900
2020-01-08,74.800003,77.010002,73.970001,75.989998,74.944023,69200
2020-01-09,77.879997,78.000000,76.440002,76.940002,75.880951,34300
2020-01-10,78.309998,79.300003,77.889999,78.309998,77.232086,44600
2020-01-13,79.150002,82.120003,78.739998,82.050003,80.920609,64700
2020-01-14,79.410004,79.480003,76.739998,77.379997,76.314888,75800
2020-01-15,77.519997,79.150002,77.230003,77.660004,76.591042,56300
2020-01-16,78.510002,80.000000,78.330002,80.000000,78.898827,49200
2020-01-17,82.050003,83.000000,81.680000,82.940002,81.798363,89400
2020-01-21,81.339996,82.510002,80.739998,80.900002,79.786438,27200
2020-01-22,79.970001,80.150002,78.760002,79.779999,78.681854,38800
2020-01-23,77.330002,77.599998,75.330002,77.589996,76.521996,66400
2020-01-24,77.830002,77.900002,75.629997,76.410004,75.358246,28700
2020-01-27,70.099998,71.080002,68.800003,69.730003,68.770195,58400
2020-01-28,71.540001,73.129997,70.750000,72.639999,71.640137,34900
2020-01-29,73.769997,74.050003,72.019997,73.320000,72.310776,22000
2020-01-30,70.260002,71.430000,68.900002,70.709999,69.736702,58700
2020-01-31,67.910004,67.910004,64.720001,65.400002,64.499794,73300
2020-02-03,65.209999,66.750000,64.580002,65.290001,64.391304,31700
2020-02-04,69.139999,69.910004,68.750000,68.870003,67.922028,48500
2020-02-05,72.839996,72.889999,71.129997,72.059998,71.068115,28800
2020-02-06,68.669998,69.860001,67.820000,69.230003,68.277077,37200
2020-02-07,65.320000,66.180000,64.010002,65.110001,64.213783,97200
2020-02-10,62.389999,64.099998,62.389999,63.930000,63.050026,43200
2020-02-11,67.650002,68.330002,66.400002,66.769997,65.850929,87600
2020-02-12,69.430000,70.300003,69.360001,70.300003,69.332344,27800
2020-02-13,68.559998,68.870003,67.139999,67.430000,66.501846,24700
2020-02-14,67.699997,67.699997,65.650002,66.370003,65.456444,23000
2020-02-18,65.379997,66.419998,64.169998,65.250000,64.351852,49300
2020-02-19,68.070000,68.660004,67.800003,67.930000,66.994965,31300
2020-02-20,68.610001,68.610001,65.699997,66.279999,65.367676,36800
